Var5,Var7,Var11,Var12,Var13
AB7F50,2025/08/12 12:42:48.732,1893.80531841123,42.4121190919897,-71.3827669469775
AB7F50,2025/08/12 12:42:49.297,1889.72507742303,42.4124858803887,-71.3821904483188
AB7F50,2025/08/12 12:42:51.867,1864.72273804744,42.414210277138,-71.3795508717462
AB7F50,2025/08/12 12:42:52.412,1865.066389292,42.414534272114,-71.3790584669963
AB7F50,2025/08/12 12:43:03.148,1872.406750424,42.4216196822639,-71.3679733011653
AB7F50,2025/08/12 12:43:35.562,1825.11020563276,42.440006887208,-71.3313492769326
AB7F50,2025/08/12 12:44:27.048,1799.97031856667,42.4364542289659,-71.2652298396672
AB7F50,2025/08/12 12:44:28.075,1818.2018143565,42.4360360288507,-71.2641436784679
AB7F50,2025/08/12 12:44:28.938,1826.44966076581,42.4357366217544,-71.2632008064508
AB7F50,2025/08/12 12:44:30.043,1832.1700397168,42.4353768648078,-71.2618996708989
AB7F50,2025/08/12 12:44:32.133,1835.29964668458,42.4348951050078,-71.2593406875432
AB7F50,2025/08/12 12:44:33.129,1832.64062528198,42.4348666694977,-71.2582274788733
AB7F50,2025/08/12 12:45:19.141,1525.03954730348,42.429917090412,-71.2070066108053
A3FF37,2025/08/12 01:49:00.914,2450,42.44344,-71.4057631524008
A3FF37,2025/08/12 01:49:01.393,2475,42.4431199951546,-71.405901805474
A3FF37,2025/08/12 01:49:01.804,2496.05609392406,42.4428366424715,-71.4062947129377
A3FF37,2025/08/12 01:49:03.334,2575.51658263437,42.4417397998979,-71.4078756006943
A3FF37,2025/08/12 01:49:04.243,2623.1111700528,42.440995917933,-71.4088905770973
A3FF37,2025/08/12 01:49:28.434,4249.58461714329,42.4204213259197,-71.436998537972
A3FF37,2025/08/12 01:49:30.374,4388.08968140044,42.4186751597308,-71.4393428313303
A3FF37,2025/08/12 01:49:35.954,4803.93391206817,42.4138025999696,-71.446148989234
A3FF37,2025/08/12 01:49:36.364,4842.20159060546,42.4135027249265,-71.4466068487849
A3FF37,2025/08/12 01:49:36.944,4891.65435143343,42.4130257535503,-71.4472968383582
A3FF37,2025/08/12 01:49:37.415,4935.50226877322,42.4126323784493,-71.4478755284355
